Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=5f5d6f9fab4fda7e,"Sales Manager, Genetic Sciences & Clinical NGS Division (GSD...",Thermo Fisher - APAC 3.5 서울,,team leadership. Take lead to develop creative long-term and short-term sales strategies. Demonstrate strong analytical...
https://kr.indeed.com/viewjob?jk=a1737de7f84e8451,Sales Manager,Euromonitor 서울,,consultative selling through in-depth contact over the long term with multiple contacts within target organisations...
https://kr.indeed.com/viewjob?jk=5df34b9a5d61397d,HR Director,Thermo Fisher - APAC 3.5 서울,,retaining the top talent required for short and long-term business success. Responsibilities: Serve as HR Business Partner...
https://kr.indeed.com/viewjob?jk=fd2302f793a07343,Technical & Solution Sales Support (Core...,Ericsson 서울,,Support Key Account Managers in generating short and long-term profitable business for Ericsson by working closely as CSR...
https://kr.indeed.com/viewjob?jk=de12dc80010f78bf,RA Manager-Korea,Advanced Sterilization Products 대한민국,,support business growth: 1.Leads a team to set up short-term and long-term regulatory strategy and efficiently implements...
https://kr.indeed.com/viewjob?jk=9934a8a6e34d2b50,Senior Accountant,Hermès 서울,,monthly basis Cash investment - Review cash status and place term deposit to bank and follow-up maturity transactions Booking...
https://kr.indeed.com/viewjob?jk=7086f3830699fc5b,Consumer Reseller Online Account Executi...,Apple 서울,,"key accounts and online sites to achieve short and long term goals - Negotiate and plan sales programs, work with partners..."
https://kr.indeed.com/viewjob?jk=fa4c3f2053569bae,TensorFlow Technical Program Manager,Google 4.3 서울,,"Define all workstreams and engineering work, including longer-term research initiatives for APAC. Establish communication..."
https://kr.indeed.com/viewjob?jk=36c52658f1c4e7fb,Sales Representative in Jeollabukdo,"Agilent Technologies, Inc. 대한민국",,maintaining... satisfaction. Maintains positive ongoing long-term relationships with key customers. * Proactively acts...
https://kr.indeed.com/viewjob?jk=b1e587496e0468cc,재무팀 Regional Treasurer 경력사원 모집,에이치비피오아시아 서울 역삼동,,monthly basis -Planning and budgeting for long term and short term basis -Strong controlling of company with cost...
https://kr.indeed.com/viewjob?jk=7f696e216b35ff47,[Ralph Lauren Korea] E-Commerce Mgr,Ralph Lauren 서울,,Operate with honesty and integrity fostering quality long-term relationships between our external stakeholders and our...
https://kr.indeed.com/viewjob?jk=19ec0e2fc12486ff,TPE Specialist,Korean Chemical Company 대한민국,,time position. Only consultation... asked. The contract term... 1 year. Candidates... only asked to stay...
https://kr.indeed.com/viewjob?jk=dcd9fc12df1797a2,"Paid Media/Acquisition Lead, Korea",lululemon athletica 서울,,"love... hands... ability to think strategic/long-term, but also roll-up your sleeves and get s*** done. ?? Most..."
